CNN-INTEGRATED SPECK COMPREHENSIVE SECURITY REPORT
------------------------------------------------------------------------------------------------------------------------
Image           | Enc_T(s) | Dec_T(s) | Entp   | NPCR%  | UACI%  | PSNR   | Corr_H | Corr_V | Corr_D
------------------------------------------------------------------------------------------------------------------------
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_0_0_size512.png | 0.0927   | 0.0816   | 7.6062 | 99.84  | 30.58  | 8.30   | -0.054 | 0.045  | 0.000 
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_0_1024_size512.png | 0.0904   | 0.0817   | 7.6167 | 99.82  | 27.81  | 9.22   | -0.058 | 0.015  | 0.024 
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_0_1536_size512.png | 0.0895   | 0.0814   | 7.6159 | 99.82  | 27.75  | 9.24   | 0.018  | -0.004 | 0.000 
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_0_2048_size512.png | 0.0892   | 0.0807   | 7.6294 | 99.82  | 26.81  | 9.62   | -0.011 | 0.011  | 0.015 
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_0_2560_size512.png | 0.0971   | 0.0933   | 7.6329 | 99.80  | 27.09  | 9.56   | -0.006 | 0.007  | 0.012 
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_0_512_size512.png | 0.0883   | 0.0803   | 7.6177 | 99.84  | 29.18  | 8.75   | -0.073 | -0.004 | -0.012
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_1024_0_size512.png | 0.0956   | 0.0946   | 7.6151 | 99.80  | 31.98  | 7.96   | -0.046 | 0.035  | 0.012 
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_1024_1024_size512.png | 0.0899   | 0.0805   | 7.6164 | 99.81  | 30.79  | 8.27   | -0.076 | 0.015  | 0.027 
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_1024_1536_size512.png | 0.0882   | 0.0862   | 7.6065 | 99.83  | 28.19  | 9.06   | -0.028 | 0.006  | -0.006
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_1024_2048_size512.png | 0.0882   | 0.0834   | 7.5985 | 99.83  | 27.90  | 9.16   | -0.064 | 0.003  | -0.002
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_1024_2560_size512.png | 0.0889   | 0.0787   | 7.6113 | 99.84  | 27.70  | 9.25   | -0.025 | -0.008 | 0.032 
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_1024_512_size512.png | 0.0920   | 0.0960   | 7.6152 | 99.81  | 31.61  | 8.05   | -0.058 | -0.030 | 0.028 
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_1536_0_size512.png | 0.0916   | 0.0819   | 7.6233 | 99.81  | 29.60  | 8.64   | -0.041 | -0.012 | 0.017 
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_1536_1024_size512.png | 0.0960   | 0.0848   | 7.6230 | 99.80  | 31.35  | 8.13   | -0.023 | -0.002 | 0.006 
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_1536_1536_size512.png | 0.0920   | 0.0801   | 7.6155 | 99.83  | 29.29  | 8.72   | -0.014 | 0.038  | 0.010 
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_1536_2048_size512.png | 0.0841   | 0.0749   | 7.5842 | 99.86  | 28.36  | 8.94   | -0.063 | 0.027  | 0.010 
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_1536_2560_size512.png | 0.0912   | 0.0800   | 7.6003 | 99.82  | 28.51  | 8.96   | -0.022 | 0.035  | 0.006 
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_1536_512_size512.png | 0.0909   | 0.0851   | 7.6101 | 99.81  | 31.77  | 8.00   | -0.097 | 0.046  | -0.009
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_512_0_size512.png | 0.0880   | 0.0841   | 7.6083 | 99.84  | 31.44  | 8.07   | -0.083 | -0.008 | -0.020
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_512_1024_size512.png | 0.0899   | 0.0801   | 7.6145 | 99.82  | 28.34  | 9.02   | -0.027 | -0.015 | 0.002 
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_512_1536_size512.png | 0.0935   | 0.0904   | 7.6218 | 99.79  | 27.18  | 9.48   | -0.036 | -0.002 | -0.008
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_512_2048_size512.png | 0.0956   | 0.0973   | 7.6188 | 99.80  | 27.30  | 9.44   | -0.022 | 0.028  | 0.005 
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_512_2560_size512.png | 0.0920   | 0.0919   | 7.6267 | 99.81  | 27.11  | 9.51   | -0.041 | 0.003  | -0.005
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0_512_512_size512.png | 0.0941   | 0.1007   | 7.6206 | 99.81  | 31.19  | 8.17   | -0.042 | 0.042  | 0.039 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_0_0_size512.png | 0.0909   | 0.0807   | 7.6029 | 99.82  | 29.88  | 8.52   | -0.057 | 0.003  | 0.008 
